anio,mes,cliente,producto,categoria,marca,cantidad_vendida,valor_venta,region,canal
2022,3,METRO,Galletas Field,Higiene,Alicorp,782,2113.72,Cusco,Tienda Independiente
2021,9,WONG,Gloria Leche,Higiene,San Jorge,194,3528.33,Trujillo,Minorista
2024,7,PLAZA VEA,Donofrio Helado,Limpieza,Backus,638,2725.25,Arequipa,Supermercado
2024,7,MAKRO,Galletas Field,Higiene,Procter & Gamble,230,2145.68,Trujillo,Supermercado
2021,9,MAYORISTA10,Dento,Alimentos,Alicorp,296,1287.97,Iquitos,Mayorista
2023,12,PLAZA VEA,Ariel Detergente,Bebidas,Backus,475,767.24,Arequipa,Mayorista
2019,3,PLAZA VEA,Gloria Leche,Alimentos,Nestlé,905,4468.41,Cusco,Tienda Independiente
2021,2,WONG,Inca Kola,Bebidas,Backus,258,1219.81,Chiclayo,Supermercado
2023,10,TOTTUS,Ariel Detergente,Higiene,San Jorge,836,3316.01,Arequipa,Minorista
2024,4,METRO,Donofrio Helado,Higiene,Backus,719,2625.11,Lima,Tienda Independiente
2019,5,TOTTUS,Dento,Bebidas,San Jorge,828,3629.1,Cusco,Supermercado
2025,1,PLAZA VEA,Inca Kola,Higiene,Gloria,482,3108.09,Lima,Mayorista
2025,2,VIVANDA,Gloria Leche,Alimentos,Procter & Gamble,108,4282.31,Cusco,Tienda Independiente
2019,7,TOTTUS,San Jorge Arroz,Limpieza,Alicorp,95,2067.96,Iquitos,Tienda Independiente
2020,8,METRO,Inca Kola,Limpieza,Backus,360,3969.84,Trujillo,Supermercado
2021,10,WONG,Galletas Field,Limpieza,Nestlé,639,1216.4,Trujillo,Supermercado
2022,4,METRO,Ariel Detergente,Alimentos,Backus,32,3622.64,Chiclayo,Mayorista
2021,10,MAYORISTA10,Galletas Field,Alimentos,Backus,703,257.3,Trujillo,Supermercado
2025,11,TOTTUS,Galletas Field,Higiene,Alicorp,222,3879.83,Lima,Minorista
2024,9,WONG,Donofrio Helado,Higiene,Nestlé,76,3885.45,Huancayo,Minorista
2021,2,TOTTUS,Inca Kola,Limpieza,Backus,938,4183.27,Iquitos,Minorista
2019,10,WONG,Inca Kola,Bebidas,Procter & Gamble,22,1068.17,Iquitos,Tienda Independiente
2021,8,WONG,Gloria Leche,Bebidas,Alicorp,774,3923.2,Arequipa,Supermercado
2025,8,TOTTUS,Ariel Detergente,Alimentos,Nestlé,228,1623.36,Iquitos,Tienda Independiente
2020,9,MAYORISTA10,Galletas Field,Alimentos,Gloria,764,1071.7,Iquitos,Mayorista
2023,2,METRO,Ariel Detergente,Higiene,Nestlé,241,4714.69,Iquitos,Minorista
2021,11,WONG,Inca Kola,Bebidas,San Jorge,787,1474.15,Trujillo,Minorista
2021,4,PLAZA VEA,Ariel Detergente,Alimentos,Backus,610,3140.17,Lima,Mayorista
2020,1,WONG,Galletas Field,Bebidas,San Jorge,56,3024.84,Chiclayo,Supermercado
2021,11,PLAZA VEA,Galletas Field,Higiene,Alicorp,745,3688.3,Iquitos,Minorista
2022,3,METRO,Casino Galleta,Higiene,Nestlé,742,1778.72,Piura,Supermercado
2021,4,MAYORISTA10,Galletas Field,Alimentos,Procter & Gamble,290,3488.89,Arequipa,Minorista
2020,4,TOTTUS,Casino Galleta,Alimentos,Alicorp,980,4960.69,Arequipa,Tienda Independiente
2020,7,MAKRO,Inca Kola,Higiene,Gloria,933,184.68,Huancayo,Minorista
2022,3,METRO,Donofrio Helado,Bebidas,Gloria,471,1939.15,Chiclayo,Supermercado
2019,6,MAKRO,Ariel Detergente,Limpieza,Nestlé,434,3981.88,Huancayo,Supermercado
2019,9,TOTTUS,Inca Kola,Bebidas,Nestlé,437,3308.02,Huancayo,Minorista
2023,8,TOTTUS,Casino Galleta,Alimentos,San Jorge,670,3743.34,Piura,Mayorista
2021,1,WONG,Galletas Field,Limpieza,Alicorp,461,2473.1,Huancayo,Tienda Independiente
2024,8,METRO,Galletas Field,Bebidas,Nestlé,756,1408.37,Iquitos,Supermercado
2025,7,TOTTUS,San Jorge Arroz,Alimentos,Gloria,913,542.02,Arequipa,Tienda Independiente
2019,4,MAYORISTA10,Galletas Field,Bebidas,San Jorge,347,4669.37,Piura,Tienda Independiente
2022,5,PLAZA VEA,Inca Kola,Bebidas,Procter & Gamble,355,2543.87,Huancayo,Tienda Independiente
2021,11,MAYORISTA10,Galletas Field,Alimentos,Nestlé,910,3985.48,Huancayo,Supermercado
2022,6,MAYORISTA10,Galletas Field,Higiene,Alicorp,894,872.71,Trujillo,Tienda Independiente
2024,3,TOTTUS,Dento,Alimentos,San Jorge,382,3300.43,Cusco,Tienda Independiente
2022,11,WONG,Gloria Leche,Higiene,San Jorge,164,3048.1,Huancayo,Supermercado
2022,8,MAKRO,San Jorge Arroz,Limpieza,San Jorge,505,72.35,Iquitos,Mayorista
2020,3,TOTTUS,Gloria Leche,Alimentos,Gloria,493,2315.99,Iquitos,Supermercado
2019,7,PLAZA VEA,Casino Galleta,Limpieza,San Jorge,879,4224.0,Huancayo,Tienda Independiente
2023,1,TOTTUS,Galletas Field,Alimentos,Nestlé,796,197.13,Arequipa,Supermercado
2025,10,PLAZA VEA,Dento,Alimentos,Alicorp,972,2966.86,Cusco,Supermercado
2022,8,METRO,Inca Kola,Bebidas,San Jorge,236,2495.54,Piura,Minorista
2019,12,TOTTUS,Donofrio Helado,Higiene,Nestlé,623,774.03,Huancayo,Minorista
2023,6,METRO,Dento,Bebidas,Procter & Gamble,775,1815.22,Arequipa,Minorista
2022,6,WONG,San Jorge Arroz,Higiene,San Jorge,171,2222.72,Lima,Minorista
2019,11,METRO,Donofrio Helado,Alimentos,Backus,319,1111.77,Trujillo,Mayorista
2024,10,TOTTUS,Dento,Bebidas,Gloria,415,80.46,Piura,Minorista
2021,11,MAYORISTA10,Gloria Leche,Higiene,Procter & Gamble,373,4918.49,Trujillo,Tienda Independiente
2024,7,MAKRO,Dento,Limpieza,Alicorp,875,2503.92,Cusco,Minorista
2019,5,MAYORISTA10,Inca Kola,Alimentos,Alicorp,462,3895.1,Chiclayo,Supermercado
2019,12,MAYORISTA10,Gloria Leche,Higiene,Procter & Gamble,430,1402.44,Chiclayo,Mayorista
2020,2,VIVANDA,Galletas Field,Higiene,Nestlé,779,1362.42,Huancayo,Mayorista
2020,1,WONG,Ariel Detergente,Limpieza,Procter & Gamble,700,1189.46,Cusco,Supermercado
2024,5,PLAZA VEA,Casino Galleta,Alimentos,Gloria,814,1528.13,Huancayo,Tienda Independiente
2020,10,MAKRO,Ariel Detergente,Limpieza,Procter & Gamble,824,314.68,Iquitos,Tienda Independiente
2019,8,MAYORISTA10,Dento,Bebidas,Nestlé,341,1820.63,Cusco,Tienda Independiente
2019,3,VIVANDA,Gloria Leche,Bebidas,Backus,35,2679.61,Cusco,Mayorista
2020,2,VIVANDA,Casino Galleta,Alimentos,Gloria,133,2766.12,Huancayo,Minorista
2025,9,MAYORISTA10,Galletas Field,Bebidas,Alicorp,571,3556.73,Lima,Supermercado
2020,6,PLAZA VEA,Casino Galleta,Alimentos,Nestlé,707,1404.92,Iquitos,Mayorista
2024,6,METRO,San Jorge Arroz,Higiene,Procter & Gamble,733,1022.52,Cusco,Mayorista
2024,8,MAYORISTA10,Donofrio Helado,Alimentos,Backus,200,99.6,Iquitos,Mayorista
2020,6,METRO,Donofrio Helado,Limpieza,San Jorge,185,4509.79,Trujillo,Mayorista
2019,9,MAKRO,Inca Kola,Alimentos,Alicorp,982,4169.85,Lima,Tienda Independiente
2021,10,TOTTUS,Donofrio Helado,Alimentos,San Jorge,978,530.3,Cusco,Mayorista
2023,2,METRO,Galletas Field,Bebidas,Gloria,200,1236.82,Iquitos,Supermercado
2021,3,WONG,Casino Galleta,Alimentos,Nestlé,494,3756.29,Arequipa,Mayorista
2023,1,METRO,Gloria Leche,Bebidas,San Jorge,408,4513.3,Huancayo,Mayorista
2021,6,MAYORISTA10,Casino Galleta,Higiene,Gloria,735,973.02,Chiclayo,Supermercado
2023,10,TOTTUS,Dento,Alimentos,Alicorp,42,601.41,Iquitos,Mayorista
2025,6,MAKRO,Casino Galleta,Bebidas,Alicorp,820,752.92,Chiclayo,Tienda Independiente
2023,6,MAKRO,San Jorge Arroz,Higiene,San Jorge,515,773.72,Iquitos,Tienda Independiente
2025,10,MAYORISTA10,Casino Galleta,Limpieza,Backus,101,4912.47,Piura,Mayorista
2022,7,VIVANDA,Gloria Leche,Alimentos,San Jorge,317,2183.32,Iquitos,Mayorista
2021,8,MAKRO,San Jorge Arroz,Limpieza,Backus,602,3564.5,Cusco,Minorista
2019,3,TOTTUS,Galletas Field,Alimentos,Backus,333,2306.73,Lima,Tienda Independiente
2022,10,TOTTUS,Dento,Limpieza,Backus,567,627.09,Lima,Mayorista
2022,6,PLAZA VEA,Donofrio Helado,Alimentos,Backus,899,3497.19,Chiclayo,Minorista
2020,4,WONG,Dento,Alimentos,Procter & Gamble,400,851.28,Lima,Tienda Independiente
2020,6,MAYORISTA10,Galletas Field,Limpieza,Gloria,270,4102.83,Chiclayo,Mayorista
2023,4,MAKRO,San Jorge Arroz,Higiene,Gloria,149,2740.59,Iquitos,Minorista
2020,11,PLAZA VEA,Inca Kola,Higiene,Procter & Gamble,766,2790.36,Cusco,Mayorista
2025,2,MAYORISTA10,San Jorge Arroz,Bebidas,Alicorp,734,1888.25,Huancayo,Supermercado
2024,4,METRO,San Jorge Arroz,Bebidas,Alicorp,172,2697.13,Piura,Supermercado
2023,8,WONG,Gloria Leche,Bebidas,Backus,872,3379.69,Iquitos,Tienda Independiente
2025,4,VIVANDA,Dento,Alimentos,Backus,301,2983.49,Piura,Tienda Independiente
2019,6,MAKRO,San Jorge Arroz,Bebidas,San Jorge,186,4659.21,Iquitos,Supermercado
2025,12,MAYORISTA10,Casino Galleta,Limpieza,Procter & Gamble,468,4554.25,Cusco,Minorista
2020,7,WONG,Ariel Detergente,Higiene,Procter & Gamble,955,1545.92,Trujillo,Mayorista
2025,6,PLAZA VEA,Inca Kola,Higiene,Gloria,564,1879.17,Arequipa,Minorista
2024,4,MAKRO,Ariel Detergente,Higiene,Procter & Gamble,336,4918.15,Arequipa,Minorista
2022,7,VIVANDA,Donofrio Helado,Bebidas,San Jorge,342,3311.84,Arequipa,Supermercado
2019,5,TOTTUS,San Jorge Arroz,Higiene,San Jorge,961,1551.84,Cusco,Mayorista
2023,12,MAKRO,Inca Kola,Bebidas,Nestlé,448,399.03,Iquitos,Minorista
2024,9,VIVANDA,Donofrio Helado,Alimentos,Backus,663,2157.93,Trujillo,Mayorista
2025,12,VIVANDA,Dento,Bebidas,Nestlé,44,1396.39,Iquitos,Supermercado
2019,9,PLAZA VEA,Gloria Leche,Alimentos,Gloria,267,2134.44,Lima,Supermercado
2022,3,METRO,Dento,Bebidas,Alicorp,382,3615.69,Chiclayo,Supermercado
2022,11,PLAZA VEA,Casino Galleta,Higiene,Nestlé,986,4144.77,Cusco,Minorista
2019,10,WONG,Ariel Detergente,Bebidas,Backus,273,1887.16,Arequipa,Mayorista
2025,4,MAYORISTA10,Ariel Detergente,Bebidas,Procter & Gamble,285,2335.45,Arequipa,Mayorista
2020,1,MAYORISTA10,Inca Kola,Limpieza,Alicorp,74,3786.62,Iquitos,Supermercado
2020,7,MAKRO,Dento,Limpieza,Gloria,495,3934.21,Chiclayo,Minorista
2021,3,VIVANDA,Galletas Field,Higiene,Alicorp,798,4976.45,Huancayo,Minorista
2019,5,PLAZA VEA,Ariel Detergente,Limpieza,Backus,129,4325.56,Chiclayo,Mayorista
2025,2,METRO,Gloria Leche,Higiene,Gloria,953,4798.13,Lima,Tienda Independiente
2020,10,PLAZA VEA,Casino Galleta,Bebidas,Gloria,446,696.55,Chiclayo,Minorista
2019,3,VIVANDA,Ariel Detergente,Alimentos,San Jorge,40,4017.03,Chiclayo,Supermercado
2020,4,VIVANDA,Dento,Bebidas,Nestlé,768,3143.38,Trujillo,Tienda Independiente
2022,3,WONG,Gloria Leche,Alimentos,Gloria,556,2116.41,Chiclayo,Tienda Independiente
2024,7,MAYORISTA10,Ariel Detergente,Bebidas,Alicorp,704,650.46,Cusco,Supermercado
2025,8,PLAZA VEA,Galletas Field,Bebidas,Procter & Gamble,567,3625.8,Huancayo,Mayorista
2024,11,WONG,San Jorge Arroz,Alimentos,Alicorp,231,904.21,Iquitos,Tienda Independiente
2022,4,METRO,San Jorge Arroz,Alimentos,Gloria,889,3016.42,Cusco,Supermercado
2025,11,MAKRO,Galletas Field,Higiene,San Jorge,835,3494.42,Cusco,Minorista
2024,2,MAYORISTA10,Inca Kola,Bebidas,Backus,362,2099.16,Lima,Minorista
2020,2,PLAZA VEA,Dento,Limpieza,Alicorp,915,2757.57,Piura,Mayorista
2019,7,PLAZA VEA,Donofrio Helado,Limpieza,San Jorge,997,2325.3,Piura,Mayorista
2022,12,VIVANDA,Inca Kola,Higiene,San Jorge,109,4054.57,Huancayo,Supermercado
2025,10,MAKRO,Casino Galleta,Bebidas,Alicorp,837,2595.2,Piura,Tienda Independiente
2020,8,VIVANDA,Inca Kola,Bebidas,Gloria,579,129.43,Huancayo,Tienda Independiente
2019,6,PLAZA VEA,San Jorge Arroz,Limpieza,Procter & Gamble,194,125.28,Arequipa,Tienda Independiente
2022,6,WONG,San Jorge Arroz,Limpieza,San Jorge,949,4300.45,Cusco,Tienda Independiente
2020,4,VIVANDA,San Jorge Arroz,Alimentos,Nestlé,224,3769.23,Huancayo,Supermercado
2023,3,MAYORISTA10,Inca Kola,Higiene,Alicorp,395,333.76,Piura,Mayorista
2024,7,MAKRO,Galletas Field,Higiene,Alicorp,491,3253.4,Huancayo,Minorista
2021,7,METRO,Galletas Field,Alimentos,San Jorge,434,4107.48,Arequipa,Tienda Independiente
2024,12,PLAZA VEA,Dento,Limpieza,Gloria,761,224.35,Iquitos,Supermercado
2020,8,PLAZA VEA,Inca Kola,Bebidas,San Jorge,749,2241.05,Lima,Tienda Independiente
2024,8,PLAZA VEA,Galletas Field,Bebidas,San Jorge,179,1575.84,Lima,Supermercado
2023,4,WONG,Ariel Detergente,Alimentos,Gloria,821,2889.95,Huancayo,Minorista
2021,9,MAYORISTA10,Ariel Detergente,Higiene,Procter & Gamble,940,497.24,Cusco,Supermercado
2024,7,VIVANDA,Gloria Leche,Bebidas,Procter & Gamble,310,3210.64,Cusco,Minorista
2024,10,PLAZA VEA,Gloria Leche,Limpieza,Nestlé,268,85.84,Huancayo,Minorista
2023,7,METRO,Casino Galleta,Higiene,Nestlé,295,2197.83,Chiclayo,Minorista
2020,3,VIVANDA,Galletas Field,Higiene,Gloria,833,724.33,Huancayo,Mayorista
2021,12,MAKRO,San Jorge Arroz,Alimentos,San Jorge,983,1799.83,Piura,Minorista
2020,7,METRO,Donofrio Helado,Limpieza,Alicorp,307,4384.43,Iquitos,Mayorista
2025,9,VIVANDA,San Jorge Arroz,Alimentos,Backus,714,2704.17,Chiclayo,Supermercado
2025,9,MAKRO,Casino Galleta,Bebidas,Nestlé,648,4417.08,Arequipa,Tienda Independiente
2022,8,WONG,Donofrio Helado,Higiene,Procter & Gamble,912,2501.42,Trujillo,Minorista
2023,9,METRO,Gloria Leche,Higiene,Alicorp,663,2412.39,Trujillo,Tienda Independiente
2019,7,MAKRO,Dento,Higiene,Alicorp,320,627.82,Huancayo,Supermercado
2025,2,MAKRO,Gloria Leche,Higiene,Alicorp,732,3719.86,Lima,Supermercado
2020,8,MAKRO,Gloria Leche,Bebidas,Nestlé,485,4598.61,Chiclayo,Mayorista
2020,12,WONG,Dento,Limpieza,Nestlé,233,2045.03,Chiclayo,Supermercado
2019,11,WONG,Dento,Limpieza,Backus,856,396.31,Trujillo,Mayorista
2022,10,MAYORISTA10,Casino Galleta,Higiene,Nestlé,264,2549.13,Trujillo,Mayorista
2022,12,TOTTUS,Casino Galleta,Bebidas,Procter & Gamble,768,4813.52,Cusco,Minorista
2021,8,METRO,Ariel Detergente,Higiene,Nestlé,126,103.32,Cusco,Supermercado
2025,7,PLAZA VEA,San Jorge Arroz,Higiene,Alicorp,574,890.03,Arequipa,Supermercado
2019,6,MAKRO,Dento,Limpieza,Procter & Gamble,652,362.2,Cusco,Mayorista
2019,2,METRO,Casino Galleta,Higiene,Backus,149,4596.38,Chiclayo,Mayorista
2022,8,WONG,Galletas Field,Alimentos,Backus,391,1957.96,Iquitos,Supermercado
2020,4,PLAZA VEA,Gloria Leche,Limpieza,Procter & Gamble,654,4140.78,Chiclayo,Minorista
2025,5,VIVANDA,Galletas Field,Bebidas,Backus,660,4361.16,Piura,Supermercado
2024,8,METRO,Ariel Detergente,Higiene,Procter & Gamble,382,3189.48,Huancayo,Tienda Independiente
2022,11,MAKRO,Galletas Field,Bebidas,Backus,228,271.34,Chiclayo,Tienda Independiente
2023,7,MAYORISTA10,Donofrio Helado,Bebidas,Nestlé,187,2798.97,Iquitos,Mayorista
2022,3,MAKRO,San Jorge Arroz,Limpieza,Backus,187,4943.38,Arequipa,Tienda Independiente
2019,10,TOTTUS,Casino Galleta,Limpieza,Alicorp,138,829.09,Piura,Tienda Independiente
2021,8,MAKRO,San Jorge Arroz,Limpieza,Procter & Gamble,170,217.79,Huancayo,Supermercado
2019,6,TOTTUS,Dento,Higiene,Procter & Gamble,81,1887.36,Chiclayo,Tienda Independiente
2024,5,TOTTUS,Gloria Leche,Bebidas,Alicorp,731,659.73,Lima,Mayorista
2019,10,VIVANDA,Inca Kola,Higiene,Nestlé,767,3633.78,Chiclayo,Minorista
2021,4,MAYORISTA10,Inca Kola,Alimentos,Gloria,11,4068.59,Arequipa,Tienda Independiente
2020,7,TOTTUS,Donofrio Helado,Higiene,Alicorp,142,4952.1,Cusco,Supermercado
2020,8,VIVANDA,Gloria Leche,Alimentos,Alicorp,435,4043.88,Chiclayo,Tienda Independiente
2025,6,TOTTUS,Galletas Field,Higiene,Gloria,29,3466.23,Cusco,Minorista
2020,5,MAKRO,Galletas Field,Bebidas,San Jorge,910,1098.92,Trujillo,Minorista
2024,9,PLAZA VEA,Galletas Field,Bebidas,Backus,124,4492.86,Piura,Supermercado
2020,10,MAKRO,Galletas Field,Bebidas,Gloria,508,1647.99,Trujillo,Tienda Independiente
2019,12,MAYORISTA10,San Jorge Arroz,Bebidas,Procter & Gamble,417,1139.93,Lima,Tienda Independiente
2025,10,MAYORISTA10,Inca Kola,Bebidas,Nestlé,295,1383.56,Chiclayo,Minorista
2019,10,MAKRO,Ariel Detergente,Limpieza,San Jorge,499,2062.78,Huancayo,Tienda Independiente
2020,5,MAKRO,Dento,Bebidas,Procter & Gamble,542,1766.95,Huancayo,Supermercado
2022,8,VIVANDA,Gloria Leche,Higiene,Alicorp,846,4146.2,Iquitos,Minorista
2019,11,MAKRO,San Jorge Arroz,Bebidas,Alicorp,796,3654.91,Piura,Minorista
2025,4,VIVANDA,Dento,Alimentos,Nestlé,214,3372.46,Iquitos,Tienda Independiente
2025,4,METRO,Dento,Higiene,Nestlé,758,585.06,Piura,Mayorista
2022,2,TOTTUS,San Jorge Arroz,Higiene,Backus,855,3730.33,Cusco,Supermercado
2020,9,MAYORISTA10,San Jorge Arroz,Higiene,Nestlé,822,1547.75,Arequipa,Mayorista
2024,8,METRO,Casino Galleta,Bebidas,Alicorp,68,3445.95,Iquitos,Mayorista
